RÉSUMÉ ÉTUDIANT
Code,4111
Année,4A
Type,1
Groupe,G1_08
Vacations Poly (total),76
Détail,normal:44 examen:9 rattrap:18 débord:5

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A)
37,1,cours/indispo promo (C),Poly 4/6 avec 6111,Poly 4/6 avec 6111,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
38,1,cours/indispo promo (C),Poly 4/6 avec 6111,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
39,1,cours/indispo promo (C),Poly 4/6 avec 6111,Poly 4/6 avec 6111,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
40,1,cours/indispo promo (C),Poly 4/6 avec 6111,—,cours/indispo promo (C),—,—,Pédo-soin (PEDO-6A-A-jeuM),cours/indispo promo (C),cours/indispo promo (C),—
41,1,cours/indispo promo (C),Poly 4/6 avec 6111,Poly 4/6 avec 6111,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
42,1,cours/indispo promo (C),Poly 4/6 avec 6111,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
43,1,cours/indispo promo (C),Poly 4/6 avec 6111,Poly 4/6 avec 6111,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
44,1,cours/indispo promo (C),Poly 4/6 avec 6111,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
45,2,Poly 4/6 avec 6111 (rattrap),Poly 4/6 avec 6111 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,cours/indispo promo (C),cours/indispo promo (C)
46,2,Poly 4/6 avec 6111 (rattrap),Poly 4/6 avec 6111 (rattrap),cours/indispo promo (C),—,cours/indispo promo (F),cours/indispo promo (F),—,Service sanitaire (SS-P2G3),Service sanitaire (SS-P2G3),cours/indispo promo (C)
47,2,Pédo-soin (PEDO-A4),Poly 4/6 avec 6111,cours/indispo promo (C),Poly 4/6 avec 6111,—,cours/indispo promo (C),—,Service sanitaire (SS-P2G3),Service sanitaire (SS-P2G3),cours/indispo promo (C)
48,2,—,Poly 4/6 avec 6111,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Service sanitaire (SS-P2G3),Service sanitaire (SS-P2G3),cours/indispo promo (C)
49,2,Pédo-soin (PEDO-A4),Poly 4/6 avec 6111,cours/indispo promo (C),Poly 4/6 avec 6111,—,cours/indispo promo (C),—,Service sanitaire (SS-P2G3),Service sanitaire (SS-P2G3),cours/indispo promo (C)
50,2,Poly 4/6 avec 6111,—,cours/indispo promo (C),—,—,—,—,Service sanitaire (SS-P2G3),Service sanitaire (SS-P2G3),cours/indispo promo (C)
51,2,—,Poly 4/6 avec 6111,cours/indispo promo (C),—,—,—,—,Service sanitaire (SS-P2G3),Service sanitaire (SS-P2G3),cours/indispo promo (C)
52,2,Poly 4/6 avec 6111 (rattrap),Poly 4/6 avec 6111 (rattrap),—,—,—,—,—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,—,—,—,—,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (ER),cours/indispo promo (ER)
3,3,—,Poly 6A absent,cours/indispo promo (C),Poly 6A absent,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—
4,3,—,Poly 6A absent,cours/indispo promo (C),—,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—
5,3,—,Poly 6A absent,cours/indispo promo (C),Poly 6A absent,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—
6,3,—,Poly 6A absent (rattrap),cours/indispo promo (C),—,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—
7,3,—,Poly 6A absent,cours/indispo promo (C),Poly 6A absent,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—
8,3,—,Poly 6A absent,cours/indispo promo (C),—,cours/indispo promo (C),Pédo-soin (PEDO-B2),—,—,cours/indispo promo (C),—
9,4,—,Poly 4/6 avec 6111 (rattrap),cours/indispo promo (C),Poly 4/6 avec 6111 (rattrap),—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
10,4,Poly 4/6 avec 6111 (rattrap),Poly 4/6 avec 6111 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
11,4,—,Poly 4/6 avec 6111 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
12,4,Poly 4/6 avec 6111 (rattrap),Poly 4/6 avec 6111 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
13,4,—,Poly 4/6 avec 6111 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
14,4,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (C),Poly 4/6 avec 6111 (examen),—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
15,4,Poly 4/6 avec 6111 (rattrap),Poly 4/6 avec 6111 (rattrap),cours/indispo promo (C),cours/indispo promo (C),—,—,—,—,cours/indispo promo (C),—
16,4,Poly 4/6 avec 6111,—,Poly 4/6 avec 6111,—,—,—,—,—,—,—
17,4,Poly 4/6 avec 6111,Poly 4/6 avec 6111 (débord),—,—,—,—,—,—,—,—
18,5,Poly 4/6 avec 6111 (examen),Poly 4/6 avec 6111 (examen),—,—,—,—,—,—,Pédo-soin (PEDO-56-venM),—
19,5,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (F),cours/indispo promo (F),Pédo-soin (PEDO-56-venM),—
20,5,Poly 4/6 avec 6111,Poly 4/6 avec 6111 (débord),—,—,—,—,—,—,Pédo-soin (PEDO-56-venM),—
21,5,cours/indispo promo (F),cours/indispo promo (F),Poly 4/6 avec 6111 (examen),Poly 4/6 avec 6111 (examen),—,—,—,—,—,—
22,5,Poly 4/6 avec 6111 (examen),Poly 4/6 avec 6111 (examen),—,—,—,—,—,—,Pédo-soin (PEDO-56-venM),—
23,5,Poly 4/6 avec 6111,Poly 4/6 avec 6111 (débord),—,—,—,—,—,—,—,—
24,5,Poly 4/6 avec 6111,—,—,—,—,—,—,—,—,—
25,5,Poly 4/6 avec 6111,—,Poly 4/6 avec 6111,—,—,—,—,—,Pédo-soin (PEDO-56-venM),—
26,5,Poly 4/6 avec 6111,—,Poly 4/6 avec 6111,—,—,—,—,—,—,—
27,5,Poly 4/6 avec 6111 (examen),Poly 4/6 avec 6111 (examen),—,—,—,—,—,—,Pédo-soin (PEDO-56-venM),—
28,6,Poly 4/6 avec 6111,—,Poly 4/6 avec 6111,—,—,—,—,—,—,—
29,6,Poly 4/6 avec 6111 (rattrap),—,—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,Pédo-soin (PEDO-56-venM),—
30,6,Poly 4/6 avec 6111,—,Poly 4/6 avec 6111,—,—,—,—,—,—,—
31,6,Poly 4/6 avec 6111,Poly 4/6 avec 6111 (débord),—,—,—,—,—,—,—,—
32,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
33,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
34,6,Poly 4/6 avec 6111,Poly 4/6 avec 6111 (débord),—,—,—,—,—,—,Pédo-soin (PEDO-56-venM),—
35,6,Poly 4/6 avec 6111,—,—,—,—,—,—,—,—,—
