RÉSUMÉ ÉTUDIANT
Code,4201
Année,4A
Type,2
Groupe,G2_01
Vacations Poly (total),65
Détail,normal:43 examen:7 rattrap:10 débord:5

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A)
37,1,cours/indispo promo (C),—,Poly 4/6 avec 6201,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
38,1,cours/indispo promo (C),—,Poly 4/6 avec 6201,cours/indispo promo (C),—,—,Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
39,1,cours/indispo promo (C),—,Poly 4/6 avec 6201,cours/indispo promo (C),Urgences (6/4),—,Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
40,1,cours/indispo promo (C),—,Poly 4/6 avec 6201,cours/indispo promo (C),Poly 4/6 avec 6201,—,Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
41,1,cours/indispo promo (C),—,Poly 4/6 avec 6201,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
42,1,cours/indispo promo (C),—,Poly 4/6 avec 6201,cours/indispo promo (C),—,—,Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
43,1,cours/indispo promo (C),Urgences (6/4),Poly 4/6 avec 6201,cours/indispo promo (C),—,—,Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
44,1,cours/indispo promo (C),—,Poly 4/6 avec 6201,cours/indispo promo (C),Poly 4/6 avec 6201,—,Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
45,2,Pédo-soin (PEDO-A4),—,cours/indispo promo (C),Poly 6A absent (rattrap),—,cours/indispo promo (C),Occluso,—,cours/indispo promo (C),cours/indispo promo (C)
46,2,—,—,cours/indispo promo (C),—,cours/indispo promo (F),cours/indispo promo (F),Urgences (6/4),—,—,cours/indispo promo (C)
47,2,—,—,cours/indispo promo (C),Poly 6A absent,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C)
48,2,—,—,cours/indispo promo (C),Poly 6A absent,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C)
49,2,Pédo-soin (PEDO-A4),—,cours/indispo promo (C),Poly 6A absent,Poly 6A absent,cours/indispo promo (C),—,—,—,cours/indispo promo (C)
