RÉSUMÉ ÉTUDIANT
Code,4102
Année,4A
Type,1
Groupe,G1_01
Vacations Poly (total),77
Détail,normal:49 examen:9 rattrap:17 débord:2

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A)
37,1,cours/indispo promo (C),Poly trinome avec 4101+6101,Occluso,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
38,1,cours/indispo promo (C),Poly trinome avec 4101+6101,Poly trinome avec 4101+6101,cours/indispo promo (C),Urgences (6/4),—,Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
39,1,cours/indispo promo (C),Poly trinome avec 4101+6101,—,cours/indispo promo (C),—,—,Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
40,1,cours/indispo promo (C),Poly trinome avec 4101+6101,Poly trinome avec 4101+6101,cours/indispo promo (C),—,—,Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
41,1,cours/indispo promo (C),Poly trinome avec 4101+6101,—,cours/indispo promo (C),—,—,Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
42,1,cours/indispo promo (C),Poly trinome avec 4101+6101,Poly trinome avec 4101+6101,cours/indispo promo (C),Urgences (6/4),—,Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
43,1,cours/indispo promo (C),Poly trinome avec 4101+6101,—,cours/indispo promo (C),—,—,Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
44,1,cours/indispo promo (C),Poly trinome avec 4101+6101,Poly trinome avec 4101+6101,cours/indispo promo (C),—,—,Service sanitaire (SS-P1G2),cours/indispo promo (C),cours/indispo promo (C),Service sanitaire (SS-P1G2)
45,2,Poly 6A absent avec 4101 (rattrap),Poly 6A absent avec 4101 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),Pédo-soin (PEDO-A3),—,cours/indispo promo (C),cours/indispo promo (C)
46,2,Poly 6A absent avec 4101 (rattrap),Poly 6A absent avec 4101 (rattrap),cours/indispo promo (C),Urgences (6/5/4),cours/indispo promo (F),cours/indispo promo (F),Pédo-soin (PEDO-A3),—,—,cours/indispo promo (C)
47,2,Occluso,Poly 6A absent avec 4101,cours/indispo promo (C),—,—,cours/indispo promo (C),Pédo-soin (PEDO-A3),—,—,cours/indispo promo (C)
48,2,—,Poly 6A absent avec 4101,cours/indispo promo (C),Poly 6A absent avec 4101,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C)
49,2,—,Poly 6A absent avec 4101,cours/indispo promo (C),—,—,cours/indispo promo (C),Pédo-soin (PEDO-A3),—,—,cours/indispo promo (C)
50,2,Poly 6A absent avec 4101,Urgences (6/4),cours/indispo promo (C),—,—,—,—,—,—,cours/indispo promo (C)
51,2,—,Poly 6A absent avec 4101,cours/indispo promo (C),Poly 6A absent avec 4101,—,—,Pédo-soin (PEDO-A3),—,—,cours/indispo promo (C)
52,2,Poly trinome avec 4101+6101 (rattrap),Poly trinome avec 4101+6101 (rattrap),—,—,—,—,—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,Poly trinome avec 4101+6101 (examen),Poly trinome avec 4101+6101 (examen),Urgences (6/4),—,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (ER),cours/indispo promo (ER)
3,3,—,Poly trinome avec 4101+6101,cours/indispo promo (C),—,cours/indispo promo (C),—,Occluso,—,cours/indispo promo (C),—
4,3,—,Poly trinome avec 4101+6101,cours/indispo promo (C),Poly trinome avec 4101+6101,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—
5,3,—,Poly trinome avec 4101+6101,cours/indispo promo (C),Poly trinome avec 4101+6101,cours/indispo promo (C),—,—,—,cours/indispo promo (C),Urgences (6/4)
6,3,—,Poly trinome avec 4101+6101 (rattrap),cours/indispo promo (C),—,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—
7,3,—,Poly trinome avec 4101+6101,cours/indispo promo (C),—,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—
8,3,—,Poly trinome avec 4101+6101,cours/indispo promo (C),Poly trinome avec 4101+6101,cours/indispo promo (C),—,—,—,cours/indispo promo (C),Urgences (6/4)
9,4,—,Poly 6A absent avec 4101 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
10,4,Poly 6A absent avec 4101 (rattrap),Poly 6A absent avec 4101 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
