RÉSUMÉ ÉTUDIANT
Code,6114
Année,6A
Type,1
Groupe,G1_11
Vacations Poly (total),70
Détail,normal:46 examen:11 rattrap:8 débord:5

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C)
37,1,cours/indispo promo (C),Poly 4/6 avec 4114,Poly 4/6 avec 4114,cours/indispo promo (C),Radio,—,Pédo-soin (PEDO-6A-A-jeuM),cours/indispo promo (C),cours/indispo promo (C),—
38,1,cours/indispo promo (C),Poly 4/6 avec 4114,—,cours/indispo promo (C),Urgences (6/4),—,Pédo-soin (PEDO-6A-A-jeuM),cours/indispo promo (C),cours/indispo promo (C),—
39,1,—,Poly 4/6 avec 4114,Poly 4/6 avec 4114,cours/indispo promo (C),Stérilisation,COMO,Pédo-soin (PEDO-6A-A-jeuM),cours/indispo promo (C),—,—
40,1,—,Poly 4/6 avec 4114,—,—,Urgences (6/4),Pano/CBCT,Pédo-soin (PEDO-6A-A-jeuM),—,—,—
41,1,—,Poly 4/6 avec 4114,Poly 4/6 avec 4114,—,—,—,Pédo-soin (PEDO-6A-A-jeuM),—,—,—
42,1,—,Poly 4/6 avec 4114,Urgences (6/4),—,—,—,Pédo-soin (PEDO-6A-A-jeuM),—,—,—
43,1,—,Poly 4/6 avec 4114,Poly 4/6 avec 4114,—,—,—,Pédo-soin (PEDO-6A-A-jeuM),—,—,Urgences (6/5/4)
44,1,—,Poly 4/6 avec 4114,—,—,—,—,Pédo-soin (PEDO-6A-A-jeuM),—,—,—
45,2,Poly 4/6 avec 4114 (rattrap),Poly 4/6 avec 4114 (rattrap),—,—,Pédo-soin (PEDO-6A-A-merM),Urgences (6/5),—,—,—,COMO
46,2,Poly 4/6 avec 4114 (rattrap),Poly 4/6 avec 4114 (rattrap),—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,Urgences (6/5)
47,2,—,Poly 4/6 avec 4114,—,Poly 4/6 avec 4114,Pédo-soin (PEDO-6A-A-merM),—,—,—,—,—
48,2,—,Poly 4/6 avec 4114,Urgences (6/5),Poly 4/6 avec 4114,Pédo-soin (PEDO-6A-A-merM),—,—,—,—,—
49,2,—,Poly 4/6 avec 4114,—,Urgences (6/5/4),Pédo-soin (PEDO-6A-A-merM),Pano/CBCT,—,—,—,—
50,2,Poly 4/6 avec 4114,—,Poly 6A seul,—,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (ER),cours/indispo promo (ER),—,Urgences (6/5)
51,2,—,Poly 4/6 avec 4114,—,Poly 4/6 avec 4114,Pédo-soin (PEDO-6A-A-merM),COMO,—,—,—,—
