RÉSUMÉ ÉTUDIANT
Code,5310
Année,5A
Type,3
Groupe,G3_55_05
Vacations Poly (total),87
Détail,normal:67 examen:6 rattrap:14 débord:0

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,—,—,Urgences (5),Radio,Pédo-soin (PEDO-A2) [remplissage],—,Poly 5/5 avec 5309 (rattrap),Poly 5/5 avec 5309 (rattrap),—,—
37,1,Urgences (5),cours/indispo promo (C),cours/indispo promo (C),COMO,—,Poly 5/5 avec 5309,cours/indispo promo (C),Poly 5/5 avec 5309,—,—
38,1,—,cours/indispo promo (C),cours/indispo promo (C),Paro,—,Poly 5/5 avec 5309,cours/indispo promo (C),Poly 5/5 avec 5309,Urgences (5),—
39,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly 5/5 avec 5309,cours/indispo promo (C),Poly 5/5 avec 5309,—,—
40,1,—,cours/indispo promo (C),cours/indispo promo (C),ODF,—,Poly 5/5 avec 5309,cours/indispo promo (C),Poly 5/5 avec 5309,Urgences (6/5),—
41,1,Radio,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly 5/5 avec 5309,cours/indispo promo (C),Poly 5/5 avec 5309,—,—
42,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly 5/5 avec 5309,cours/indispo promo (C),Poly 5/5 avec 5309,Urgences (6/5),—
43,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly 5/5 avec 5309,cours/indispo promo (C),Poly 5/5 avec 5309,—,—
44,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly 5/5 avec 5309,cours/indispo promo (C),Poly 5/5 avec 5309,Urgences (6/5),—
45,2,—,cours/indispo promo (C),Paro,—,cours/indispo promo (C),Poly 5/5 avec 5309 (rattrap),—,—,—,—
46,2,—,cours/indispo promo (C),Radio,Urgences (6/5/4),cours/indispo promo (F),cours/indispo promo (F),—,—,—,COMO
47,2,—,cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 5/5 avec 5309,—,Poly 5/5 avec 5309,—,—
48,2,—,cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 5/5 avec 5309,Urgences (5),Poly 5/5 avec 5309,—,—
49,2,—,cours/indispo promo (C),Stérilisation,—,cours/indispo promo (C),Poly 5/5 avec 5309,—,Poly 5/5 avec 5309,—,ODF
50,2,—,cours/indispo promo (C),—,Urgences (5),cours/indispo promo (C),Poly 5/5 avec 5309 (examen),Pédo-soin (PEDO-A3) [remplissage],Poly 5/5 avec 5309 (examen),—,—
51,2,—,cours/indispo promo (C),Paro,—,cours/indispo promo (C),Poly 5/5 avec 5309,—,Poly 5/5 avec 5309,—,—
52,2,—,Urgences (5),—,—,—,—,Poly 5/5 avec 5309 (rattrap),cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
