RÉSUMÉ ÉTUDIANT
Code,4307
Année,4A
Type,3
Groupe,G3_05
Vacations Poly (total),39

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
37,1,cours/indispo promo,—,—,cours/indispo promo,Poly 4/6 avec 6305,—,—,cours/indispo promo,cours/indispo promo,—
38,1,cours/indispo promo,—,—,cours/indispo promo,Poly 4/6 avec 6305,—,—,cours/indispo promo,cours/indispo promo,—
39,1,cours/indispo promo,—,—,cours/indispo promo,Poly 4/6 avec 6305,—,—,cours/indispo promo,cours/indispo promo,—
40,1,cours/indispo promo,—,—,cours/indispo promo,Poly 4/6 avec 6305,—,Poly 4/6 avec 6305,cours/indispo promo,cours/indispo promo,—
41,1,cours/indispo promo,—,—,cours/indispo promo,Poly 4/6 avec 6305,—,—,cours/indispo promo,cours/indispo promo,—
42,1,cours/indispo promo,—,—,cours/indispo promo,Poly 4/6 avec 6305,—,—,cours/indispo promo,cours/indispo promo,—
43,1,cours/indispo promo,—,—,cours/indispo promo,Poly 4/6 avec 6305,—,—,cours/indispo promo,cours/indispo promo,—
44,1,cours/indispo promo,—,—,cours/indispo promo,Poly 4/6 avec 6305,—,—,cours/indispo promo,cours/indispo promo,—
45,2,A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),Poly 4/6 avec 6305 (rattrap),A INTERVENIR (CONFLIT (couplage)),Poly 4/6 avec 6305 (rattrap),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
46,2,A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),Poly 4/6 avec 6305 (rattrap),Poly 4/6 avec 6305 (rattrap),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE)
47,2,—,—,cours/indispo promo,—,Poly 4/6 avec 6305,cours/indispo promo,—,—,—,cours/indispo promo
48,2,—,—,cours/indispo promo,—,Poly 4/6 avec 6305,cours/indispo promo,Poly 4/6 avec 6305,—,—,cours/indispo promo
49,2,—,—,cours/indispo promo,—,Poly 4/6 avec 6305,cours/indispo promo,—,—,—,cours/indispo promo
